Lp;DataPoczatku;DataKonca;SumaUbezpieczenia;Odnowienia;Ulica;KodPocztowy;Miasto;Wojewodztwo;Kraj;ReasekuracjaO;ReasekuracjaF;Szerokosc;Dlugosc;Flaga_1;Flaga_2
1;01.08.2021;31.07.2022;250000;TAK;Spokojna 27;16-100;Sokółka;podlaskie;Polska;1,2;;53.39535535;23.51818062672451;1;0;
2;03.08.2021;02.08.2022;200000;TAK;Chełmska 1;86-005;Białe Błota;kujawsko-pomorskie;Polska;1,2;;53.09768065;17.92390067408273;1;0;
3;01.07.2021;30.06.2022;110000;TAK;Mikołaja Kopernika 4;26-900;Kozienice;mazowieckie;Polska;1,2;;51.59059025;21.538977976041508;1;0;
4;01.07.2021;30.06.2022;410000;TAK;Łąkowa 4;26-333;Paradyż;łódzkie;Polska;1,2;;51.3056518;20.104942340817377;1;0;
5;08.07.2021;07.07.2022;910000;TAK;Łamana 7;02-480;Warszawa;mazowieckie;Polska;1,2;;52.203662550000004;20.913569435057145;1;0;
6;06.07.2021;05.07.2022;500000;TAK;Na Stoku 6;32-087;Pękowice;małopolskie;Polska;1,2;;50.126984050000004;19.903739102730746;1;0;
7;09.04.2021;08.04.2022;660000;TAK;Matysiaków 2 i;05-200;Zagościniec;mazowieckie;Polska;1,2;;52.37345;21.24679;1;0;
8;22.03.2021;21.03.2022;250000;TAK;Płk. Dąbka Stanisława 149;81-107;Gdynia;pomorskie;Polska;1,2;;54.553148050000004;18.531538347502;1;0;
9;04.07.2021;03.07.2022;445000;TAK;Komety 19;05-500;Józefosław;mazowieckie;Polska;1,2;;52.09802705;21.03904886681376;1;0;
10;30.06.2021;29.06.2022;145000;TAK;Chorzewa 24;28-300;Chorzewa;świętokrzyskie;Polska;1,2;;50.6889417;20.2360849;3;0;
11;30.06.2021;29.06.2022;90000;TAK;Słowackiego 3;66-620;Gubin;lubuskie;Polska;1,2;;51.949836950000005;14.73038432043974;1;0;
12;28.07.2021;27.07.2022;550000;TAK;Korfantego 100;43-155;Bieruń;śląskie;Polska;1,2;;50.068176699999995;19.184995105178487;1;0;
13;01.07.2021;30.06.2022;510000;TAK;Zięby 44;05-825;Szczęsne;mazowieckie;Polska;1,2;;52.088180;20.659380;3;1;
