Lp.;Nr_umowy;Data.poczatku.okresu.ubezpieczenia;Data.konca.okresu.ubezpieczenia;SU_v_PML;Odnow;Adres_Ulica_i_numer;Adres_Kod_pocztowy;Adres_Miasto;Adres_Wojewodztwo;Adres_Kraj;ReasekuracjaO;ReasekuracjaF
1;M10000067804;01.08.2021;31.07.2022;250000;TAK;Spokojna  27;16-100;Sokółka;podlaskie;Polska;1,2;NA
2;M10000071604;03.08.2021;02.08.2022;2,00E+05;TAK;Chełmska 1;86-005;Białe Błota;kujawsko-pomorskie;Polska;1,2;NA
3;M10000077904;01.07.2021;30.06.2022;110000;TAK;Mikołaja Kopernika 4;26-900;Kozienice;mazowieckie;Polska;1,2;NA
4;M10000079504;01.07.2021;30.06.2022;410000;TAK;Łąkowa 4;26-333;Paradyż;łódzkie;Polska;1,2;NA
5;M10000086604;08.07.2021;07.07.2022;910000;TAK;Łamana 7;02-480;Warszawa;mazowieckie;Polska;1,2;NA
6;M10000088504;06.07.2021;05.07.2022;5,00E+05;TAK;Na Stoku 6;32-087;Pękowice;małopolskie;Polska;1,2;NA
7;M1000016010;09.04.2021;08.04.2022;660000;TAK;Matysiaków 2 i;05-200;Zagościniec;mazowieckie;Polska;1,2;NA
8;M1000017210;22.03.2021;21.03.2022;250000;TAK;Płk. Dąbka Stanisława 149;81-107;Gdynia;pomorskie;Polska;1,2;NA
9;M10000185604;04.07.2021;03.07.2022;445000;TAK;Komety 19;05-500;Józefosław;mazowieckie;Polska;1,2;NA
10;M10000205104;30.06.2021;29.06.2022;145000;TAK;Chorzewa 24;28-300;Chorzewa;świętokrzyskie;Polska;1,2;NA
11;M10000307204;30.06.2021;29.06.2022;90000;TAK;Słowackiego 3;66-620;Gubin;lubuskie;Polska;1,2;NA
12;M1000055510;28.07.2021;27.07.2022;550000;TAK;Korfantego 100;43-155;Bieruń;śląskie;Polska;1,2;NA
13;M10000635904;01.07.2021;30.06.2022;510000;TAK;Kłudno Stare 11a;05-825;Kłudno Stare;mazowieckie;Polska;1,2;NA
14;M10000834304;30.06.2021;29.06.2022;155000;TAK;Chodorówka Stara-Kolonia 41;16-150;Chodorówka Stara-Kolonia;podlaskie;Polska;1,2;NA
15;M1000127010;15.03.2021;14.03.2022;420000;TAK;Jaszowiecka 5;02-934;Warszawa;mazowieckie;Polska;1,2;NA
16;M10001399704;10.09.2021;09.09.2022;210000;TAK;Wojska Polskiego 263;25-205;Kielce;świętokrzyskie;Polska;1,2;NA
