Lp;DataPoczatku;DataKonca;SumaUbezpieczenia;Odnowienia;Ulica;KodPocztowy;Miasto;Wojewodztwo;Kraj;ReasekuracjaO;ReasekuracjaF;Szerokosc;Dlugosc;Flaga_1;Flaga_2;Nr_Wojewodztwa
1;01.08.2021;31.07.2022;250000;TAK;Spokojna 27;16-100;Sokółka;Podlaskie;Polska;1,2;NA;53.39535535;23.51818062672451;1;0;9;
2;03.08.2021;02.08.2022;2,00E+05;TAK;Chełmska 1;86-005;Białe Błota;Kujawsko-Pomorskie;Polska;1,2;NA;53.09768065;17.92390067408273;1;0;2;
3;01.07.2021;30.06.2022;110000;TAK;Mikołaja Kopernika 4;26-900;Kozienice;Świętokrzyskie;Polska;1,2;NA;51.59059025;21.538977976041508;1;0;16;
4;01.07.2021;30.06.2022;410000;TAK;Łąkowa 4;26-333;Paradyż;Świętokrzyskie;Polska;1,2;NA;51.3056518;20.104942340817377;1;0;16;
5;08.07.2021;07.07.2022;910000;TAK;Łamana 7;02-480;Warszawa;Mazowieckie;Polska;1,2;NA;52.203662550000004;20.913569435057145;1;0;5;
6;06.07.2021;05.07.2022;5,00E+05;TAK;Na Stoku 6;32-087;Pękowice;Małopolskie;Polska;1,2;NA;50.126984050000004;19.903739102730746;1;0;6;
7;09.04.2021;08.04.2022;660000;TAK;Matysiaków 2 i;05-200;Zagościniec;Mazowieckie;Polska;1,2;NA;52.37345;21.24679;1;0;5;
8;22.03.2021;21.03.2022;250000;TAK;Płk. Dąbka Stanisława 149;81-107;Gdynia;Pomorskie;Polska;1,2;NA;54.553148050000004;18.531538347502;1;0;10;
9;04.07.2021;03.07.2022;445000;TAK;Komety 19;05-500;Józefosław;Mazowieckie;Polska;1,2;NA;52.09802705;21.03904886681376;1;0;5;
10;30.06.2021;29.06.2022;145000;TAK;Chorzewa 24;28-300;Chorzewa;Świętokrzyskie;Polska;1,2;NA;50.6889417;20.2360849;3;0;16;
11;30.06.2021;29.06.2022;90000;TAK;Słowackiego 3;66-620;Gubin;Lubuskie;Polska;1,2;NA;51.949836950000005;14.73038432043974;1;0;4;
12;28.07.2021;27.07.2022;550000;TAK;Korfantego 100;43-155;Bieruń;Śląskie;Polska;1,2;NA;50.068176699999995;19.184995105178487;1;0;15;
13;01.07.2021;30.06.2022;510000;TAK;3 Maja 5;05-825;Terespol;Mazowieckie;Polska;1,2;NA;52.076094;23.629904;3;1;5;
14;30.06.2021;29.06.2022;155000;TAK;Chodorówka Stara-Kolonia 41;16-150;Chodorówka Stara-Kolonia;Podlaskie;Polska;1,2;NA;53.5305556;23.1683334;3;0;9;
15;15.03.2021;14.03.2022;420000;TAK;Jaszowiecka 5;02-934;Warszawa;Mazowieckie;Polska;1,2;NA;52.1869776;21.052007250000003;1;0;5;
16;10.09.2021;09.09.2022;210000;TAK;Wojska Polskiego 263;25-205;Kielce;Świętokrzyskie;Polska;1,2;NA;50.8381031;20.659982900183063;1;0;16;
17;20.07.2021;19.07.2022;3,00E+05;TAK;Płk. Antoniego Lawicz-Liszki 13;06-500;Mława;Mazowieckie;Polska;1,2;NA;53.11962425;20.38641271876688;1;0;5;
18;24.07.2021;23.07.2022;380000;TAK;Nefrytowa 2;34-324;Twardorzeczka;Małopolskie;Polska;1,2;NA;49.65958075;19.11156986184498;1;0;6;
19;12.08.2021;11.08.2022;1890000;TAK;Bluszczańska 6;00-712;Warszawa;Mazowieckie;Polska;1,2;NA;52.20973445;21.072119441691164;1;0;5;
20;16.03.2021;15.03.2022;190000;TAK;Sławska 6;67-112;Siedlisko;Lubuskie;Polska;1,2;NA;51.776617200000004;15.824306345813643;1;0;4;
21;01.04.2021;31.03.2022;240000;TAK;Marii Skłodowskiej-Curie 2;18-400;Łomża;Podlaskie;Polska;1,2;NA;53.1774952;22.0715712;1;0;9;
22;02.04.2021;01.04.2022;390000;TAK;Korkowa 135a;04-549;Warszawa;Mazowieckie;Polska;1,2;NA;52.2400004;21.14882012159311;1;0;5;
23;12.07.2021;11.07.2022;370000;TAK;Powstańców Warszawy 8B;73-110;Stargard Szczeciński;Zachodniopomorskie;Polska;1,2;NA;53.3125844;15.0367391;1;0;13;
24;18.03.2021;17.03.2022;210000;TAK;Bojkowska 18;44-100;Gliwice;Śląskie;Polska;1,2;NA;50.28348435;18.673814208239225;1;0;15;
25;10.07.2021;09.07.2022;250000;TAK;Dorycka 6;01-964;Warszawa;Mazowieckie;Polska;1,2;NA;52.2967462;20.9406359;1;0;5;
26;01.07.2021;30.06.2022;720000;TAK;Szkolna 131;42-100;Kłobuck;Śląskie;Polska;1,2;NA;50.9063531;18.963653913265304;1;0;15;
27;30.06.2021;29.06.2022;130000;TAK;Aleja Niepodległości 92-98;02-585;Warszawa;Mazowieckie;Polska;1,2;NA;52.1986574;21.0127267;1;0;5;
28;02.04.2021;01.04.2022;320000;TAK;Sielecka 2b;00-738;Warszawa;Mazowieckie;Polska;1,2;NA;52.2028006;21.039686852042422;1;0;5;
29;30.06.2021;29.06.2022;105000;TAK;Zduny 15;85-055;Bydgoszcz;Kujawsko-Pomorskie;Polska;1,2;NA;53.12882595;18.000778873597316;1;0;2;
30;01.07.2021;30.06.2022;150000;TAK;Adama Mickiewicza 82;59-300;Lubin;Dolnośląskie;Polska;1,2;NA;51.4038276;16.2062167;1;0;1;
31;01.07.2021;30.06.2022;710000;TAK;Aleja Miętowa 11;45-940;Opole;Opolskie;Polska;1,2;NA;50.651254;17.846523;1;0;7;
32;21.03.2021;20.03.2022;90000;TAK;Zawiszy Czarnego 12;68-200;Żary;Lubuskie;Polska;1,2;NA;51.6367054;15.183309545170495;1;0;4;
33;30.06.2021;29.06.2022;630000;TAK;Zagumienna 69A;15-866;Białystok;Podlaskie;Polska;1,2;NA;53.14777635;23.14778610728431;1;0;9;
34;30.06.2021;29.06.2022;425000;TAK;Tarnówko 31;64-712;Tarnówko;Wielkopolskie;Polska;1,2;NA;52.7773505;16.596854750000002;3;0;12;
35;30.06.2021;29.06.2022;360000;TAK;Witolda Sławińskiego 31;15-349;Białystok;Podlaskie;Polska;1,2;NA;53.1065268;23.131836781543626;1;0;9;
36;01.04.2021;31.03.2022;120000;TAK;Kosmowskiej Ireny 1C;20-815;Lublin;Lubelskie;Polska;1,2;NA;51.2590573;22.5396922;1;0;3;
37;29.06.2021;28.06.2022;160000;TAK;Konstytucji 3 Maja 73b;69-100;Słubice;Lubuskie;Polska;1,2;NA;52.35689;14.56802;1;0;4;
38;08.07.2021;07.07.2022;80000;TAK;Romualda Millera 10;01-496;Warszawa;Mazowieckie;Polska;1,2;NA;52.2588382;20.919853416614338;1;0;5;
39;05.08.2021;04.08.2022;50000;TAK;Aleksandrowska 220A;91-120;Łódź;Łódzkie;Polska;1,2;NA;51.810701;19.338375;1;1;14;
40;04.07.2021;03.07.2022;166000;TAK;Marii Grzegorzewskiej 2;02-778;Warszawa;Mazowieckie;Polska;1,2;NA;52.1497613;21.057363015819163;1;0;5;
41;08.08.2021;07.08.2022;525000;TAK;Lawendowa 15;05-504;Łoś;Mazowieckie;Polska;1,2;NA;51.98189695;20.96334157035011;1;0;5;
42;23.08.2021;22.08.2022;420000;TAK;Jana Kazimierza 13;01-248;Warszawa;Mazowieckie;Polska;1,2;NA;52.2249044;20.947453886359447;1;0;5;
43;10.08.2021;09.08.2022;5,00E+05;TAK;Mikołajczyka 39;63-330;Dobrzyca;Wielkopolskie;Polska;1,2;NA;51.850223299999996;17.594267995143156;1;0;12;
44;30.06.2021;29.06.2022;280000;TAK;ks. Teofila Boguckiego 3a;01-508;Warszawa;Mazowieckie;Polska;1,2;NA;52.2614143;20.981966409818867;1;0;5;
45;26.07.2021;25.07.2022;290000;TAK;Kołowa 16;93-142;Łódź;Łódzkie;Polska;1,2;NA;51.73520465;19.483589078910924;1;0;14;
46;10.11.2021;09.11.2022;480000;TAK;Przyjazna 12;05-140;Marynino;Mazowieckie;Polska;1,2;NA;52.52443185;21.000031162274382;1;0;5;
47;11.08.2021;10.08.2022;405000;TAK;Hipolita Cegielskiego 18;62-020;Swarzędz;Wielkopolskie;Polska;1,2;NA;52.40073205;17.062816289354995;1;0;12;
48;01.08.2021;31.07.2022;210000;TAK;Poprzeczna 3;73-140;Ińsko;Zachodniopomorskie;Polska;1,2;NA;53.4386814;15.551485246467074;1;0;13;
49;21.11.2021;20.11.2022;323000;TAK;Ząbkowska 16;03-735;Warszawa;Mazowieckie;Polska;1,2;NA;52.2532031;21.0404342;1;0;5;
50;30.06.2021;29.06.2022;580000;TAK;Buska 18;02-924;Warszawa;Mazowieckie;Polska;1,2;NA;52.17813425;21.067134396866535;1;0;5;
51;15.03.2021;14.03.2022;320000;TAK;Sieczna 69;03-290;Warszawa;Mazowieckie;Polska;1,2;NA;52.31731815;21.076762606998244;1;0;5;
52;30.06.2021;29.06.2022;130000;TAK;1 Maja 31;11-130;Orneta;Warmińsko-Mazurskie;Polska;1,2;NA;54.11703355;20.137960114396183;1;0;11;
53;30.06.2021;29.06.2022;450000;TAK;Stare Załucze 54a;22-234;Stare Załucze;Lubelskie;Polska;1,2;NA;51.3985719;23.0847666;3;0;3;
54;30.06.2021;29.06.2022;265000;TAK;Falista 5;61-249;Poznań;Wielkopolskie;Polska;1,2;NA;52.36907615;16.946357397949917;1;0;12;
55;25.03.2021;24.03.2022;2,00E+05;TAK;Grochowe Łąki 1;61-752;Poznań;Wielkopolskie;Polska;1,2;NA;52.4125979;16.9385185;1;0;12;
56;13.07.2021;12.07.2022;230000;TAK;Ignacego Mościckiego 7;83-000;Pruszcz Gdański;Pomorskie;Polska;1,2;NA;54.2642642;18.626633964918447;1;0;10;
57;30.06.2021;29.06.2022;130000;TAK;Misiągiewicza 18;37-200;Przeworsk;Podkarpackie;Polska;1,2;NA;50.05916860000001;22.505602748847622;1;0;8;
58;15.03.2021;14.03.2022;340000;TAK;Jeżewo 30;95-001;Jeżewo;Łódzkie;Polska;1,2;NA;51.909517;19.4649552;3;0;14;
59;13.03.2021;12.03.2022;1060000;TAK;Długa 8;05-806;Granica;Mazowieckie;Polska;1,2;NA;49.63069985;21.733726254299754;1;0;5;
60;30.06.2021;29.06.2022;170000;TAK;Bolesława Chrobrego 19;08-119;Siedlce;Mazowieckie;Polska;1,2;NA;52.18338195;22.274864937046345;1;0;5;
61;30.06.2021;29.06.2022;425000;TAK;gen. Józefa Hallera 4B;10-693;Olsztyn;Warmińsko-Mazurskie;Polska;1,2;NA;53.739742;20.4798109;1;0;11;
62;30.06.2021;29.06.2022;530000;TAK;Marynarska 20;15-591;Białystok;Podlaskie;Polska;1,2;NA;53.0849751;23.227144250000002;1;0;9;
63;05.07.2021;04.07.2022;885000;TAK;Srebrnych Świerków 53;05-500;Julianów;Mazowieckie;Polska;1,2;NA;52.0954094;21.058761824824355;1;0;5;
64;08.07.2021;07.07.2022;415000;TAK;Polskiego Czerwonego Krzyża 7;81-621;Gdynia;Pomorskie;Polska;1,2;NA;54.4981296;18.514216983581534;1;0;10;
65;01.08.2021;31.07.2022;170000;TAK;Sokratesa 13D;01-909;Warszawa;Mazowieckie;Polska;1,2;NA;52.2858787;20.9294101;1;0;5;
66;30.06.2021;29.06.2022;142000;TAK;Tropiszewo 4a;82-224;Tropiszewo;Pomorskie;Polska;1,2;NA;54.10426;18.9575;3;0;10;
67;19.12.2021;18.12.2022;620000;TAK;Słoneczna 5a;05-126;Stanisławów Pierwszy;Mazowieckie;Polska;1,2;NA;52.36994905;21.03766080878296;1;0;5;
68;30.06.2021;29.06.2022;330000;TAK;Jana Karskiego 57A;25-214;Kielce;Świętokrzyskie;Polska;1,2;NA;50.8425296;20.6420033;1;0;16;
69;03.07.2021;02.07.2022;770000;TAK;Izabelińska 81a;05-082;Stare Babice;Mazowieckie;Polska;1,2;NA;52.2693773;20.830320177302156;1;0;5;
70;01.07.2021;30.06.2022;140000;TAK;Henryka Sienkiewicza 29;37-400;Nisko;Podkarpackie;Polska;1,2;NA;50.520127599999995;22.152293775881265;1;0;8;
71;14.07.2021;13.07.2022;370000;TAK;Aluzyjna 25d;03-149;Warszawa;Mazowieckie;Polska;1,2;NA;52.3474143;20.941547928649634;1;0;5;
72;30.06.2021;29.06.2022;515000;TAK;Bazylijska 42;95-100;Zgierz;Łódzkie;Polska;1,2;NA;51.863850600000006;19.398319466784592;1;0;14;
73;01.07.2021;30.06.2022;4,00E+05;TAK;Głuska 253A;20-385;Lublin;Lubelskie;Polska;1,2;NA;51.1857491;22.5955697;1;0;3;
74;30.06.2021;29.06.2022;185000;TAK;Grzegorza Kunawina 32;16-200;Dąbrowa Białostocka;Podlaskie;Polska;1,2;NA;53.65575;23.35522;1;0;9;
75;08.07.2021;07.07.2022;830000;TAK;Jana Pawła II 74;32-091;Michałowice;Małopolskie;Polska;1,2;NA;50.158606500000005;19.96575065;1;0;6;
76;01.07.2021;30.06.2022;7,00E+05;TAK;dr. Henryka Jordana 4a;44-193;Knurów;Śląskie;Polska;1,2;NA;50.211049;18.642342349141046;1;0;15;
77;30.06.2021;29.06.2022;360000;TAK;Pelikana 19;71-698;Szczecin;Zachodniopomorskie;Polska;1,2;NA;53.4682544;14.5609724;1;0;13;
78;01.07.2021;30.06.2022;242000;TAK;Aleja Zjednoczenia 11;01-829;Warszawa;Mazowieckie;Polska;1,2;NA;52.279329;20.9475594;1;0;5;
79;02.07.2021;01.07.2022;110000;TAK;Jarosława Dąbrowskiego 14;02-558;Warszawa;Mazowieckie;Polska;1,2;NA;52.202542449999996;21.020736471061788;1;0;5;
80;01.07.2021;30.06.2022;50000;TAK;Rzeszowska 4c;37-400;Nisko;Podkarpackie;Polska;1,2;NA;50.517539;22.14518973667736;1;0;8;
81;06.07.2021;05.07.2022;160000;TAK;Sowiniecka 46C;62-050;Mosina;Wielkopolskie;Polska;1,2;NA;52.24392;16.85615;1;0;12;
82;01.07.2021;30.06.2022;220000;TAK;Arbuzowa 9a;54-054;Wrocław;Dolnośląskie;Polska;1,2;NA;51.1546744;16.9001578;1;0;1;
83;03.07.2021;02.07.2022;450000;TAK;Kuznocin 70;96-500;Sochaczew;Łódzkie;Polska;1,2;NA;52.224268800000004;20.220223968566593;1;0;14;
84;01.08.2021;31.07.2022;415000;TAK;Ks. bp. Władysława Bandurskiego 88;71-685;Szczecin;Zachodniopomorskie;Polska;1,2;NA;53.4556129;14.5601595;1;0;13;
85;01.07.2021;30.06.2022;253000;TAK;Hawelańska 11;61-625;Poznań;Wielkopolskie;Polska;1,2;NA;52.4371987;16.9498576;1;0;12;
86;12.07.2021;11.07.2022;150000;TAK;Bledzianów 49;63-500;Bledzianów;Wielkopolskie;Polska;1,2;NA;51.47100805;17.854930944872812;3;0;12;
87;09.07.2021;08.07.2022;180000;TAK;Wiadukt 5A;15-327;Białystok;Podlaskie;Polska;1,2;NA;53.0988529;23.13122265034916;1;0;9;
88;04.07.2021;03.07.2022;266000;TAK;Eugeniusza Romera 28;20-487;Lublin;Lubelskie;Polska;1,2;NA;51.2094343;22.54223000188085;1;0;3;
89;16.03.2021;15.03.2022;590000;TAK;Spiska 2a;02-302;Warszawa;Mazowieckie;Polska;1,2;NA;52.22151545;20.98491622775234;1;0;5;
90;04.07.2021;03.07.2022;560000;TAK;Zamkowa 17;06-300;Przasnysz;Mazowieckie;Polska;1,2;NA;53.00569;20.90388;1;0;5;
91;01.07.2021;30.06.2022;485000;TAK;Nadrzeczna 23;23-250;Urzędów;Lubelskie;Polska;1,2;NA;51.00381;22.16852;1;0;3;
92;01.07.2021;30.06.2022;2,00E+05;TAK;Dolna 17;99-400;Łowicz;Łódzkie;Polska;1,2;NA;52.1217381;19.941510093670843;1;0;14;
93;01.04.2021;31.03.2022;170000;TAK;Kiełmina 54b;95-010;Kiełmina;Łódzkie;Polska;1,2;NA;51.86542;19.52882;3;0;14;
94;02.07.2021;01.07.2022;155000;TAK;Gąsawska 64;64-500;Gąsawy;Wielkopolskie;Polska;1,2;NA;52.60776;16.62854;1;0;12;
95;30.07.2021;29.07.2022;130000;TAK;gen. Jarosława Dąbrowskiego 12;89-200;Szubin;Kujawsko-Pomorskie;Polska;1,2;NA;53.0097132;17.735819363197606;1;0;2;
96;19.07.2021;18.07.2022;274000;TAK;Sosnowa 18;16-124;Sidra;Podlaskie;Polska;1,2;NA;53.5578413;23.43718207315436;1;0;9;
97;21.03.2021;20.03.2022;7,00E+05;TAK;Częstochowska 179;32-085;Modlnica;Małopolskie;Polska;1,2;NA;50.136749;19.864359;1;1;6;
98;28.07.2021;27.07.2022;260000;TAK;Jarnołtówek 220;48-267;Jarnołtówek;Opolskie;Polska;1,2;NA;50.283723949999995;17.432309882867337;3;0;7;
99;17.07.2021;16.07.2022;350000;TAK;Kasztanowa 20;55-080;Smolec;Dolnośląskie;Polska;1,2;NA;51.0864057;16.8999384101375;1;0;1;
100;01.07.2021;30.06.2022;6,00E+05;TAK;Nugat 9;02-776;Warszawa;Mazowieckie;Polska;1,2;NA;52.1550176;21.0516779;1;0;5;
101;01.07.2021;30.06.2022;520000;TAK;Stolarska 9;95-100;Zgierz;Łódzkie;Polska;1,2;NA;51.873171799999994;19.432507082978717;1;0;14;
102;04.07.2021;03.07.2022;205000;TAK;Olimpiów 16 A;26-341;Olimpiów;Świętokrzyskie;Polska;1,2;NA;51.34816;20.0083;3;0;16;
103;07.07.2021;06.07.2022;297792;TAK;Spokojna 20;63-714;Tomnice;Wielkopolskie;Polska;1,2;NA;51.7089239;17.495971355094788;1;0;12;
104;23.07.2021;22.07.2022;670000;TAK;Bursztynowa 11;62-003;Biedrusko;Wielkopolskie;Polska;1,2;NA;52.546598599999996;16.941190274132804;1;0;12;
105;01.07.2021;30.06.2022;350000;TAK;Warszawska 64;87-148;Łysomice;Kujawsko-Pomorskie;Polska;1,2;NA;53.085140;18.635400;3;1;2;
106;15.04.2021;14.04.2022;140000;TAK;Kalinowa 5;41-200;Sosnowiec;Śląskie;Polska;1,2;NA;50.25987295;19.173153399308788;1;0;15;
107;01.07.2021;30.06.2022;410000;TAK;Zdrojki Lewe 78;62-700;Turek;Wielkopolskie;Polska;1,2;NA;52.03252;18.48904;1;0;12;
108;17.05.2021;16.05.2022;170000;TAK;Władysława Stanisława Reymonta 64;32-332;Bukowno;Małopolskie;Polska;1,2;NA;50.2601787;19.4734898;1;0;6;
109;01.08.2021;31.07.2022;150000;TAK;Olszyn 81;21-504;Olszyn;Lubelskie;Polska;1,2;NA;52.1396307;23.358295400000003;3;0;3;
110;20.07.2021;19.07.2022;430000;TAK;Ks. Romualda Żurowskiego 2;62-035;Kórnik;Wielkopolskie;Polska;1,2;NA;52.22499995;17.08398587906253;1;0;12;
111;01.07.2021;30.06.2022;410000;TAK;Sosnowiecka 10;01-496;Warszawa;Mazowieckie;Polska;1,2;NA;52.26258785;20.916205772463414;1;0;5;
112;05.07.2021;04.07.2022;273000;TAK;Sarcz 31c;64-980;Sarcz;Wielkopolskie;Polska;1,2;NA;53.0595986;16.4905118;3;0;12;
113;22.03.2021;21.03.2022;220000;TAK;Księżycowa 1;05-400;Otwock;Mazowieckie;Polska;1,2;NA;52.1012754;21.262666474434038;1;0;5;
114;01.07.2021;30.06.2022;310000;TAK;Suchoniowa 4;34-340;Jeleśnia;Małopolskie;Polska;1,2;NA;49.631201649999994;19.332661029903257;1;0;6;
115;20.05.2021;19.05.2022;540000;TAK;Narutowicza 19a;05-071;Sulejówek;Mazowieckie;Polska;1,2;NA;52.24394675;21.306197900465115;1;0;5;
116;30.06.2021;29.06.2022;530000;TAK;Stefana Kisielewskiego 5H;05-123;Chotomów;Mazowieckie;Polska;1,2;NA;52.4012304;20.89961805994956;1;0;5;
117;03.07.2021;02.07.2022;770000;TAK;Graniczna 24;05-555;Ruda;Mazowieckie;Polska;1,2;NA;51.980115749999996;20.87792820521166;1;0;5;
118;04.07.2021;03.07.2022;490000;TAK;Władysława Stanisława Reymonta 19;05-091;Ząbki;Mazowieckie;Polska;1,2;NA;52.28216415;21.118806984267245;1;0;5;
119;10.07.2021;09.07.2022;160000;TAK;Źródłowa 39;91-735;Łódź;Łódzkie;Polska;1,2;NA;51.780782200000004;19.477485771020582;1;0;14;
