Lp.;Adres_Ulica_i_numer;Adres_Kod_pocztowy;Adres_Miasto;Adres_Wojewodztwo
4;WRÓBLEWSKIEGO 9/67;24-100;PUŁAWY;bd
5;UL. PŁÓCZKI GÓRNE 102;59-600;LWÓWEK ŚLĄSKI;bd
16;UL. GLIWICKA 11B;44-177;PANIÓWKI;bd
17;UL. K.MIARKI 1;44-178;PRZYSZOWICE;bd
18;UL. KORFANTEGO 7 B;44-186;GIERAŁTOWICE;bd
19;UL. KS ROBOTY 48;44-186;GIERAŁTOWICE;bd
20;UL. KS. ROBOTY 48;44-186;GIERAŁTOWICE;bd
21;UL. OGRODOWA 47;44-186;GIERAŁTOWICE;bd
22;UL. POWSTAŃCÓW ŚLĄSKICH 1;44-186;GIERAŁTOWICE;bd
23;UL. POWSTAŃCÓW ŚLĄSKICH 41;44-186;GIERAŁTOWICE;bd
24;UL. SZKOLNA 4;44-178;PRZYSZOWICE;bd
25;UL. SZKOLNA 52;44-177;CHUDÓW;bd
26;UL. ZWYCIĘSTWA 44;44-177;PANIÓWKI;bd
27;UL. NIEPODLEGŁOŚCI 30;64-965;OKONEK;bd
28;UL. WODNA 20A;64-965;OKONEK;bd
29;CZARNOCIN 100;28-506;CZARNOCIN;bd
30;CZARNOCIN 100;28-506;CZARNOCIN;bd
31;CZARNOCIN 100;28-506;CZARNOCIN;bd
32;UL. CIESZKOWY 30;28-506;CIESZKOWY;bd
33;UL. CZARNOCIN 1;28-506;CZARNOCIN;bd
34;UL. SOKOLINA 19;28-506;SOKOLINA;bd
35;ŁAZISKA 15 A;26-505;OROŃSKO;bd
36;ŁAZISKA 15 D;26-505;OROŃSKO;bd
37;PL. M KONOPNICKIEJ 7;26-500;SZYDŁOWIEC;bd
38;PL. M KONOPNICKIIEJ 7;26-500;SZYDŁOWIEC;bd
39;UL. KOLEJOWA 78;26-500;SZYDŁOWIEC;bd
40;UL. KOŚCIUSZKI 185;26-500;SZYDŁOWIEC;bd
41;UL. METALOWA 7;26-500;SZYDŁOWIEC;bd
42;UL. METALOWA 7;26-500;SZYDŁOWIEC;bd
43;UL. T KOŚCIUSZKI 39;26-500;SZYDŁOWIEC;bd
44;UL. T. KOŚCIUSZKI 39;26-500;SZYDŁOWIEC;bd
45;UL. ZAMKOWA 1;26-500;SZYDŁOWIEC;bd
46;PL. MAŁACHOWSKIEGO 1;00-063;WARSZAWA;bd
47;UL. BOGUCKIEGO 1B/8;01-508;WARSZAWA;bd
48;UL. CIETRZEWIA 22;02-492;WARSZAWA;bd
